bmg_alloy,paper_sno,actual_d_max
B1.0Si2.0Ti50.0Ni24.0Cu20.0Sn3.0,"[1, 5, 9, 6]",1
Si1.0Ti41.5Ni7.5Cu37.5Zr2.5Sn5.0Hf5.0,"[1, 5, 9, 6]",6
Ti40.0Cu40.0Zr10.0Pd10.0,"[1, 5, 6, 7]",4
Ti40.0Cu34.0Zr10.0Pd16.0,"[1, 5, 6, 7, 9]",4
Ti40.0Cu32.0Zr10.0Pd18.0,"[1, 5, 6, 7, 9]",3
Ti40.0Cu30.0Zr10.0Pd20.0,"[1, 5, 6, 7, 9]",3
B0.5Al7.0Si3.0Sc3.0Ti53.0Ni18.5Cu15.0,"[1, 5, 9, 6]",2
B0.5Al7.0Si3.0Ti53.0Ni18.5Cu15.0Hf3.0,"[1, 5, 9, 6]",2
Ti40.0Cu38.0Zr10.0Pd12.0,"[1, 5, 6, 7, 9]",6
Ti40.0Cu36.0Zr10.0Pd14.0,"[1, 5, 6, 7, 9]",6
Al7.0Cu25.0Pr68.0,"[1, 5, 6, 7, 9]",1.5
Al24.0Co20.0Y56.0,"[1, 5, 6, 7, 9]",1.5
Al24.0Sc20.0Co20.0Y36.0,"[1, 5, 6, 7, 9]",25
Al24.0Sc20.0Co10.0Ni10.0Y36.0,"[1, 5, 6, 7, 9]",25
B6.0C15.0Cr15.0Co50.0Mo14.0,"[1, 5, 9, 6]",2
B6.0C15.0Cr15.0Co48.0Mo14.0Er2.0,"[1, 5, 6]",10
B31.5Fe20.0Co43.0Ta5.5,"[1, 5, 6]",2
Si20.0Cu25.0Au55.0,"[1, 9, 6]",0.5
Si20.0Cu29.0Ag5.0Au46.0,"[1, 5, 9, 6]",1
Si16.5Cu29.2Pd2.3Au52.0,"[1, 5, 9, 6]",2
Si16.3Cu26.9Pd2.3Ag5.5Au49.0,"[1, 5, 9, 6]",5
Al14.0Ni9.75Cu29.2Hf47.0,"[1, 5, 6, 7, 9]",10
Al13.0Ni9.75Cu29.2Hf48.0,"[1, 5, 6, 7]",10
