bmg_alloy,paper_sno,actual_d_max
Fe50.0Cu25.0Ag25.0,[9],0
P17.0Co5.0Ni78.0,[9],0
Al57.0Si15.0Cr28.0,[9],0
B2.0C19.0Cr6.0Fe52.6Co5.85Mo14.0Er0.5,[9],2
Si13.3Cu20.2Ga6.7Pd2.4Ag5.8Au51.6,"[1, 6]",3
Be34.0Ti41.0Zr25.0,[5],5
B22.0C5.0Ni73.0,[9],0
Al23.5Co20.5Zr53.0Ag3.0,"[1, 6]",5
B6.0Cr20.0Fe74.0,[9],0
Al2.0Cu36.0Zr48.0Ag14.0,"[1, 6]",2
Mg80.0Ni5.0Y15.0,[9],0
Al8.0Ni4.0Cu36.0Zr44.0Ag8.0,"[1, 6]",30
Al9.0Fe4.5Cu23.0Zr62.0Hf3.0,"[1, 6]",10
Mg60.0Si0.5Ni23.6La15.9,"[1, 6]",1
Al7.0Cu46.0Y2.0Zr45.0,"[1, 5, 6, 7]",8
B12.0Mn15.0Fe73.0,[9],0
Mg19.0Ca47.0Cu27.0Zn7.0,"[9, 5, 7]",6
C14.0Co76.0Mo10.0,[9],0
Al7.5Cu22.5Zr60.0Nb5.0Pd5.0,"[1, 6]",4
B11.0C1.0Si2.0P3.0Fe83.0,[2],0.081
Cu46.0Zr54.0,"[1, 5, 6, 7, 9]",2
Al88.0Co1.0Ni11.0,[9],0
Al94.0Co4.0Ni2.0,[9],0
Al88.0Fe2.0Ni10.0,[9],0
B12.8Si2.75P4.13Fe39.0Ni39.0Nb2.3,[2],2.5
Al8.0Ni6.0Cu16.0Zr70.0,"[1, 5, 6, 7, 9]",6
Fe20.0Cu49.0Ag31.0,[9],0
Al15.0Ni17.5Cu9.5Zr54.0Nb4.0,"[1, 6]",6
B18.0Ti3.5Fe77.0Zr1.5,[2],1
Al86.0Co2.0Ni12.0,[9],0
Mg60.0Ni23.6Y1.0La15.4,"[1, 5, 6, 7]",3
P21.5Co12.5Ni66.0,[9],0
Al12.5Cu20.0Ag5.0La62.5,"[1, 5, 6, 7, 9]",6
B2.0C8.0Si1.0P9.0Fe80.0,[2],1.5
Al82.0Sm18.0,[9],0
B20.0Fe72.0Y1.0Nb4.0Hf3.0,"[1, 2, 5, 6, 9]",3
B6.0P14.0Fe75.0Co5.0,[2],3
B15.0Al1.0Fe61.0Co6.0Y2.0Zr8.0Mo7.0,"[1, 2, 5, 6, 9]",5
Si10.0P5.0Cu4.0Pd79.0Ag2.0,"[1, 5, 9, 6]",5
B19.2Si4.8Fe71.0Nb4.0Tb0.96,[9],1
B1.7C8.3P10.0Fe75.0Mo5.0,[2],1.5
Mg15.0Ca65.0Cu20.0,"[9, 5, 7]",4
B5.0C9.0Al3.0P6.0Fe77.0,[2],1
Si20.0Ti50.0Nb30.0,[9],0
Si25.0Ti25.0Nb50.0,[9],0
Al65.0V15.0Cu20.0,[9],0
B6.0C15.0Cr6.0Fe52.6Co5.85Mo14.0Er0.5,"[9, 2]",4
Ti10.0Cu40.0Zr30.0Ag20.0,"[1, 5, 6, 7, 9]",3
Fe16.0Ag84.0,[9],0
Al10.0Cu20.0Nb1.0Ce69.0,"[1, 5, 6, 7, 9]",10
B2.0Al10.0Cu20.0Ce68.0,"[1, 5, 6]",2
B13.0C12.0Ni75.0,[9],0
Ti20.0Cu80.0,[9],0
Al12.5Fe5.0Cu15.0Ag5.0La62.5,"[1, 5, 6, 7, 9]",6
Mg31.8Ca31.8Cu36.4,"[1, 5, 6, 7, 9]",8
Al19.8Co19.8Cu4.95Zr54.4Ag1.0,[7],10
B16.0C20.0Co64.0,[9],0
Al20.0Ti80.0,[9],0
Al9.28Ni2.69Cu35.2Zr50.1Ag2.69,[5],20
B10.0Cr5.0Fe85.0,[9],0
Ti35.0Ni65.0,[9],0
Al92.5Ca7.5,[9],0
B0.5Al7.0Si3.0Sc3.0Ti53.0Ni18.5Cu15.0,"[1, 5, 9, 6]",2
B16.7Si8.3Fe70.7Cu1.0Zr3.3,[2],1.5
B8.0Mn5.0Fe87.0,[9],0
Al50.0Cu50.0,[9],0
Al7.0Cu43.0Zr48.0Ag2.0,"[1, 5, 6, 7, 9]",12
B5.0C10.0P10.0Fe65.0Ni5.0Mo5.0,[2],3
Al10.0Ti90.0,[9],0
Al12.3Ni9.0Cu28.0Zr50.7,"[1, 6]",7
Mg63.0Cu27.0Gd10.0,"[1, 5, 6, 7, 9]",4
Al50.0V10.0Cu40.0,[9],0
P25.0Ni60.0Pt15.0,[9],0
Ti40.0Cu32.0Zr10.0Pd18.0,"[1, 5, 6, 7, 9]",3
Be20.0Ti55.0Ni10.0Zr15.0,"[1, 6]",5
Al94.0Mn2.0Co4.0,[9],0
Al9.0Ti3.0Fe4.5Cu23.0Zr60.5,"[1, 6]",10
Al80.0Ni5.0Y15.0,[9],0
Al86.0Fe7.0Ni7.0,[9],0
Mg60.0Cu25.0Ce15.0,[9],0
Ni10.5Cu11.0Ga8.5Ce70.0,"[1, 6]",2
C14.0Co76.0W10.0,[9],0
Al7.5Ni10.0Cu17.5Zr65.0,"[1, 5, 6, 7, 9]",16
Al8.0Cu36.0Zr42.0Ag8.0Hf6.0,"[1, 5, 6, 7]",15
B6.0C15.0Fe57.6Co6.4Mo14.0Er1.0,[2],3.5
B2.0C9.0P9.0Fe80.0,[2],1.8
B5.0C10.0P10.0Fe55.0Ni15.0Mo5.0,[2],3
Al15.0Fe56.7Tb28.3,[9],0
B20.0Si4.0Fe70.0Nb6.0,[2],2
B4.0C6.0Al5.0Si1.0P10.0Fe72.0Ga2.0,[2],2
Al17.0Ni12.2Cu12.2La58.6,"[9, 7]",5
Si1.0Ti47.0Fe2.5Cu38.0Zr7.5Ag2.0Sn2.0,[5],7
B16.0Fe64.0Cu20.0,[9],0
Mg90.0Mn10.0,[9],0
B8.0C18.0Cr16.0Fe42.0Mo16.0,[2],1.2
Al16.0Co28.0Y5.0Zr51.0,"[1, 6]",5
B25.0Si2.5Ni72.5,[9],0
Al82.0Mn4.0Ni14.0,[9],0
Mg65.0Ni7.5Cu7.5Zn5.0Y7.5Ag5.0Gd2.5,"[1, 5, 6, 7, 9]",9.5
Cu44.0Zr44.0Ag12.0,"[1, 5, 6, 7, 9]",4
Al12.5Co5.0Cu15.0Ag5.0La62.5,"[1, 5, 6, 7, 9]",9
Al88.0Co11.0Ni1.0,[9],0
Al65.0Fe20.0Ce15.0,[9],0
Si30.0Co70.0,[9],0
B6.0C15.0Cr15.0Fe48.0Mo14.0Tm2.0,[2],12
